# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	334
#@/user_id	151ce42f-d6fe-47fb-985a-47967f8fde4b
a 	啊	c=2 d=1.04789 t=334
ba 	吧	c=1 d=1 t=180
ba ren 	把人	c=2 d=1.69768 t=219
bao bao 	寶寶	c=1 d=0.543351 t=334
bei 	被	c=4 d=2.21066 t=334
bei ren 	被人	c=1 d=1 t=281
bi ji ben 	筆記本	c=1 d=0.65377 t=334
bi ni 	比你	c=2 d=1.96079 t=270
bie 	別	c=1 d=1 t=320
bie ren 	別人	c=2 d=1.53794 t=299
bu 	不	c=0 d=0.1 t=203
bu chang 	補償	c=1 d=1 t=158
bu hao shi 	不好使	c=1 d=1 t=334
bu huang 	不慌	c=1 d=1 t=334
bu lei 	不累	c=0 d=0.1 t=287
bu shi 	不是	c=1 d=1 t=293
bu shun 	不順	c=1 d=1 t=276
bu yao 	不要	c=1 d=1 t=172
bu za 	不咋	c=1 d=1 t=152
bu zhao 	不找	c=1 d=1 t=216
bu zhao ren 	不招人	c=1 d=1 t=204
bu zhi dao 	不知道	c=3 d=2.65241 t=304
cai hui 	纔會	c=1 d=1 t=137
cheng 	成	c=1 d=0.860708 t=334
da 	大	c=1 d=1 t=271
da 	答	c=0 d=0.1 t=210
da duo shu 	大多數	c=1 d=0.895834 t=334
da shang lai 	答上來	c=1 d=1 t=211
dao qi 	到期	c=1 d=0.790571 t=334
de 	的	c=21 d=10.9704 t=334
deng ni 	等你	c=1 d=1 t=141
di yi ci 	第一次	c=1 d=1 t=193
dian nao 	電腦	c=1 d=1 t=280
dou shi 	都是	c=2 d=1.79057 t=181
du da 	毒打	c=1 d=1 t=257
dui 	對	c=1 d=0.694197 t=334
duo hao 	多好	c=2 d=1.86502 t=289
duo shao 	多少	c=1 d=0.637628 t=334
e xin 	噁心	c=1 d=1 t=221
fan ti zi 	繁體字	c=1 d=0.794534 t=334
fang an 	方案	c=1 d=1 t=230
gan jue 	感覺	c=1 d=1 t=267
gang 	剛	c=1 d=0.677057 t=334
ge yue 	個月	c=2 d=1.80446 t=334
ge zhong 	各種	c=1 d=1 t=275
gei 	給	c=2 d=1.69768 t=220
gei ni 	給你	c=1 d=1 t=155
gei qian 	給錢	c=1 d=1 t=316
gei wo 	給我	c=2 d=1.18383 t=334
gong si 	公司	c=7 d=3.23079 t=334
gong zi 	工資	c=1 d=0.606531 t=334
guan jian 	關鍵	c=1 d=0.759572 t=334
guo 	過	c=1 d=1.07371 t=258
guo nian 	過年	c=2 d=1.36212 t=334
hai 	還	c=2 d=1.53794 t=330
hai hao 	還好	c=1 d=1 t=179
hai you 	還有	c=1 d=1 t=225
hao 	好	c=2 d=1.82259 t=334
hao hao 	好好	c=0 d=0.0618783 t=334
hao hao zuo 	好好做	c=1 d=0.621885 t=334
he tong 	合同	c=2 d=1.66242 t=334
hen duo 	很多	c=1 d=1 t=162
hou lai 	後來	c=1 d=1 t=213
hu you 	忽悠	c=1 d=0.644036 t=334
hu you guo 	忽悠過	c=1 d=1 t=198
hua 	話	c=2 d=1.9362 t=334
hua bing 	花併	c=1 d=0.574072 t=334
hua qiang bei 	華強北	c=1 d=1 t=313
hua shuo 	話說	c=1 d=1 t=265
huai 	壞	c=1 d=1 t=222
huang 	慌	c=1 d=1 t=286
hui 	會	c=2 d=1.52994 t=324
